,0,1,2,3,4
0,1.0,0.2570673345262618,0.00001,0.821278701505175,182.12306695894642
1,2.0,0.23683962852483564,0.00001,0.6676658830589381,108.53576779617767
2,3.0,0.2360971016117194,0.00001,0.5780894858866636,81.29614625443537
3,4.0,0.23533173203118096,0.00001,0.5414481511849044,66.62403347947321
4,5.0,0.22602468868915776,0.00001,0.4932986892995434,57.282782638069136
5,6.0,0.20799386038146803,0.00001,0.46375214591593483,50.736827013849584
6,7.0,0.1976939511921684,0.00001,0.4400376174747934,45.85430750359615
7,8.0,0.20014867002531334,0.00001,0.4204043036941332,42.04913389808883
8,9.0,0.1988943076696039,0.00001,0.4001178898226717,38.98546676409325
9,10.0,0.19921833807389627,0.01392926504265099,0.38450741110514153,36.45610647641671
10,11.0,0.19538812931256908,0.03344377527860959,0.35733248334652856,34.32580050130525
11,12.0,0.19411293076272992,0.044947822297789125,0.34327803922767075,32.50223979388435
12,13.0,0.18871752432822309,0.05116462512068157,0.32627042353576463,30.920109168356756
13,14.0,0.18674255835857473,0.05436836940413328,0.3191167473130162,29.531793516551016
14,15.0,0.1849014193421354,0.06008843156657599,0.30971440711769477,28.30169888002952
15,16.0,0.18534619618106762,0.0650121138443564,0.30568027851777885,27.202641739736606
16,17.0,0.18656355484579035,0.06579119964236987,0.3073359100492108,26.213474531120447
17,18.0,0.1848761060987108,0.06970110031420518,0.3000511118832164,25.317478154281435
18,19.0,0.1840591551357422,0.06809360837578014,0.30002470189570424,24.501245917402006
19,20.0,0.1816110890962542,0.07092285209620257,0.2922993260963058,23.75389131903457
20,21.0,0.18278257471213902,0.07344825324418126,0.2921168961800968,23.06647456928331
21,22.0,0.1821527918280739,0.07369362160940109,0.2906119620467467,22.431580134949083
22,23.0,0.18145266744176178,0.07889827644301735,0.2840070584405062,21.843000619143048
23,24.0,0.18392841868787194,0.08328901839680929,0.2845678189789346,21.295496840258124
24,25.0,0.18648131592286674,0.09277628753759637,0.2801863443081371,20.784613391789286
25,26.0,0.18663632663938537,0.09414526157922266,0.2791273916995481,20.30653518635917
26,27.0,0.18791087100031353,0.09765159428128732,0.27817014771933973,19.857974677404382
27,28.0,0.18653718104264908,0.09340097531854134,0.2796733867667568,19.436082323226646
28,29.0,0.1868015744163269,0.09701082597214766,0.2765923228605061,19.03837485714901
29,30.0,0.1876022624131526,0.10320196471213293,0.27200256011417223,18.662677339769587
30,31.0,0.18621907934861576,0.1022703678867126,0.2701677908105189,18.307075980538485
31,32.0,0.18551110453540054,0.1065824202572707,0.26443978881353036,17.969879449044413
32,33.0,0.18408554646039002,0.1073053145531419,0.26086577836763813,17.649586934127743
33,34.0,0.18525090788903206,0.11007663053973304,0.2604251852383311,17.344861607593472
34,35.0,0.18500640613341476,0.11255616002484418,0.25745665224198533,17.054508447826663
35,36.0,0.18444248137775737,0.11471159399641691,0.25417336875909785,16.777455604268848
36,37.0,0.18443879578594008,0.1169184399691202,0.25195915160275995,16.512738655789786
37,38.0,0.183934410813452,0.11916325119770126,0.24870557042920272,16.259487248293905
38,39.0,0.1825672427417892,0.11953711665874353,0.24559736882483488,16.016913699419344
39,40.0,0.18218340393768545,0.11928420048469814,0.24508260739067278,15.784303238208356
40,41.0,0.18038945380480567,0.12056176547957255,0.2402171421300388,15.561005610521327
41,42.0,0.17930961613144947,0.11915860153587257,0.23946063072702636,15.346427830722277
42,43.0,0.17861245658499092,0.12032447838329897,0.23690043478668288,15.140027899769944
43,44.0,0.1779759450745903,0.1231244728007044,0.2328274173484762,14.941309341561718
44,45.0,0.17869328565850276,0.12279638322900244,0.23459018808800308,14.749816434911933
45,46.0,0.17700020710418013,0.12296232907050011,0.23103808513786014,14.56513003921518
46,47.0,0.17650086574238336,0.12333219540190776,0.22966953608285895,14.38686392866056
47,48.0,0.1751565134638883,0.12306845050713161,0.227244576420645,14.214661563608843
48,49.0,0.17605294393523238,0.12583961955796258,0.22626626831250218,14.048193239033163
49,50.0,0.1762045626474442,0.12608814346924696,0.22632098182564142,13.887153559235532
50,51.0,0.17481738308083927,0.12521675800884788,0.22441800815283067,13.731259195764107
51,52.0,0.1749821650694838,0.1268281257536493,0.2231362043853183,13.580246891870685
52,53.0,0.17500852906436218,0.12648300238796795,0.2235340557407564,13.43387168220289
53,54.0,0.17462045712591212,0.12704292268964598,0.22219799156217826,13.291905300912829
54,55.0,0.17380729917315912,0.1261502123930267,0.22146438595329154,13.154134755137445
55,56.0,0.17321826066763965,0.12587706411664726,0.22055945721863204,13.020361043989794
56,57.0,0.17224454459335437,0.12346857393182595,0.22102051525488278,12.890398005895761
57,58.0,0.17126176500186194,0.12393294361591804,0.21859058638780582,12.76407127939998
58,59.0,0.17011097970336062,0.12281572003312444,0.2174062393735968,12.641217364514317
59,60.0,0.16906981856725403,0.12204119961230828,0.2160984375221998,12.521682773348093
60,61.0,0.16823454856857326,0.12134611694862303,0.2151229801885235,12.40532326018626
61,62.0,0.16710309794309075,0.12163516437988894,0.21257103150629256,12.29200312240758
62,63.0,0.16541603842403982,0.11968828879182394,0.2111437880562557,12.181594564690776
63,64.0,0.16428275928267178,0.11833478205082937,0.21023073651451418,12.073977119868303
64,65.0,0.16401855746239202,0.11999160548470077,0.20804550944008326,11.969037120576587
65,66.0,0.16312409665397742,0.11908499678686746,0.2071631965210874,11.866667216536397
66,67.0,0.16285135981459553,0.11812072517479422,0.20758199445439685,11.766765932892417
67,68.0,0.1615588691840091,0.1184064302786001,0.20471130808941812,11.669237265560223
